ACE2,Coronavirus Receptor
AGR2,Goblet cells
AKAP5,AT-1
BPIFB1, goblet/club 
CCL5,Neutrophils
CD3G,T cells
CD79A,B cells
CHIL3,Alveolar Macrophages
CLDN10,ACE2 correlation
CXCR2, neutrophils/eosinophils
EPCAM,Epithelium
FOXJ1, ciliated cells
GABRP,Secretory Cells
GZMA, NK cells
LAMP3,AT-2
MGP,Interstitial fibroblasts
MUC1,AT-2
MUC5AC, goblet cells
MUC5B,Secretory Cells
PDGFRA,Mesenchymal Cells
PLA2G1B,AT-2
PTPRC,Immune Cells
Reg3g, goblet cells
RTKN2,AT-1
SCGB1A1, club cells (secretory cells) 
Scgb3a1, goblet cells 
SCGB3C1,Secretory Cells
SFTPC,AT-2
TFF2, goblet cells
TMEM100,Endothelium
